Time , Signal value , Temperature , Humidity , Battery Voltage , Light Sensor Value 
23:40:06,-60,30.16,82.03,0.21,0.0
23:40:08,-61,30.17,82.04,0.21,0.0
23:40:10,-60,30.17,82.06,0.18,0.0
23:40:11,-60,30.16,82.08,0.21,0.0
23:40:13,-61,30.19,82.04,0.18,0.0
23:40:15,-61,30.16,82.06,0.18,0.0
23:40:16,-61,30.18,82.05,0.18,0.0
23:40:17,-61,30.18,82.05,0.21,0.0
23:40:20,-60,30.18,82.03,0.18,0.0
23:40:22,-60,30.16,82.04,0.18,0.0
23:40:24,-60,30.16,82.05,0.18,0.0
23:40:25,-60,30.18,82.08,0.18,0.0
23:40:27,-61,30.16,82.07,0.18,0.0
23:40:29,-59,30.18,82.04,0.18,0.0
23:40:30,-60,30.17,82.06,0.18,0.0
23:40:32,-60,30.16,82.02,0.18,0.0
23:40:34,-60,30.17,82.02,0.18,0.0
23:40:36,-61,30.17,82.01,0.18,0.0
23:40:37,-60,30.17,82.05,0.21,0.0
23:40:39,-60,30.17,82.02,0.18,0.0
23:40:41,-60,30.18,82.03,0.18,0.0
23:40:43,-60,30.17,82.03,0.18,0.0
23:40:45,-60,30.16,82.02,0.18,0.0
23:40:47,-59,30.18,82.03,0.18,0.0
23:40:48,-60,30.18,82.05,0.21,0.0
23:40:50,-61,30.17,82.01,0.18,0.0
23:40:52,-61,30.18,82.0,0.21,0.0
23:40:54,-60,30.16,82.02,0.18,0.0
23:40:56,-60,30.17,82.05,0.18,0.0
23:40:58,-59,30.18,82.03,0.21,0.0
23:41:00,-60,30.18,82.01,0.18,0.0
23:41:02,-60,30.2,81.99,0.21,0.0
23:41:04,-60,30.2,82.02,0.18,0.0
23:41:06,-60,30.18,82.0,0.18,0.0
23:41:08,-60,30.19,82.01,0.21,0.0
23:41:09,-60,30.2,81.97,0.18,0.0
23:41:11,-60,30.2,81.95,0.18,0.0
23:41:13,-60,30.17,81.96,0.18,0.0
23:41:14,-60,30.17,81.93,0.18,0.0
23:41:17,-60,30.19,81.99,0.18,0.0
23:41:18,-60,30.19,81.97,0.18,0.0
23:41:20,-60,30.19,81.96,0.18,0.0
23:41:22,-60,30.19,81.99,0.18,0.0
23:41:23,-61,30.17,81.96,0.18,0.0
23:41:25,-61,30.19,81.94,0.18,0.0
23:41:28,-60,30.18,81.96,0.18,0.0
23:41:29,-61,30.22,81.99,0.18,0.0
23:41:31,-61,30.19,81.95,0.18,0.0
23:41:33,-60,30.19,81.93,0.21,0.0
23:41:34,-61,30.19,81.93,0.18,0.0
23:41:36,-60,30.2,81.91,0.18,0.0
23:41:38,-60,30.2,81.92,0.18,0.0
23:41:40,-61,30.2,81.91,0.18,0.0
